wave,625-50,675-50,725-50,750-50,775-50,Open,F610,F670,F720,F760,Halpha,Ha-Cont,SII,SII-Cont,ND10,ND25
694.7,1.57E-06,0.9740404749,0.005270002298,1.11E-05,3.72E-07,0.9913291228,2.60E-14,0.3766570529,0.1854101786,0.03461430469,0,0,4.47E-95,1.72E-07,0.1083420281,0.003854423591
694.8,1.44E-06,0.9744092159,0.005626539635,1.11E-05,3.70E-07,0.9913828068,2.41E-14,0.3299546489,0.209419241,0.03465688524,0,0,8.79E-96,1.76E-07,0.1083472971,0.003854285117
694.9,1.32E-06,0.9746904773,0.00601018988,1.12E-05,3.68E-07,0.9914363974,2.19E-14,0.2856518286,0.2346539711,0.03472982828,0,0,1.69E-97,1.79E-07,0.1083521225,0.003854185955
695,1.22E-06,0.9749633762,0.006423745136,1.13E-05,3.66E-07,0.991489917,1.93E-14,0.2444577313,0.2608780323,0.03483334044,0,0,3.60E-97,1.83E-07,0.1083564,0.003854143896
695.1,1.12E-06,0.9752874417,0.006870181433,1.14E-05,3.63E-07,0.9915434594,1.66E-14,0.2068601805,0.2878547995,0.0349676309,0,0,1.45E-97,1.42E-07,0.1083600588,0.003854171825
695.2,1.03E-06,0.9755178401,0.007352503098,1.14E-05,3.61E-07,0.9915970272,1.39E-14,0.173141889,0.3153474623,0.03513290571,0,0,0,1.00E-07,0.1083631632,0.003854262993
695.3,9.52E-07,0.975519229,0.007873726129,1.16E-05,3.59E-07,0.9916505978,1.13E-14,0.1434040698,0.343119183,0.03532937007,0,0,0,5.85E-08,0.1083658112,0.003854405747
695.4,8.78E-07,0.9753985937,0.008436884918,1.17E-05,3.57E-07,0.9917041374,8.96E-15,0.1175948994,0.3709333049,0.03555715498,0,0,0,1.69E-08,0.1083681008,0.003854588431
695.5,8.09E-07,0.975272663,0.009045311967,1.17E-05,3.55E-07,0.9917576433,6.96E-15,0.09554048212,0.3985542447,0.03581563596,0,0,0,0,0.10837013,0.003854799389
695.6,7.46E-07,0.9750548102,0.009703513831,1.18E-05,3.54E-07,0.9918112476,5.31E-15,0.07695322532,0.4257843442,0.03610374936,0,0,0,0,0.1083719968,0.003855026967
695.7,6.87E-07,0.9746381433,0.01041631087,1.19E-05,3.53E-07,0.9918649842,4.00E-15,0.06145319452,0.4525132795,0.03642042223,0,0,3.52E-101,0,0.1083737992,0.00385525951
695.8,6.33E-07,0.9740380623,0.01118860465,1.20E-05,3.51E-07,0.9919183578,2.99E-15,0.04865964222,0.4786435551,0.0367645618,0,0,0,0,0.1083756352,0.003855485363
695.9,5.84E-07,0.9732854033,0.01202560842,1.21E-05,3.49E-07,0.9919712361,2.24E-15,0.03820936849,0.5040784803,0.03713508797,0,0,0,0,0.1083776028,0.00385569287
696,5.38E-07,0.9723504552,0.01293370115,1.22E-05,3.47E-07,0.992025468,1.70E-15,0.02976270243,0.5287231199,0.0375309951,0,0,2.25E-103,0,0.1083798,0.003855870376
696.1,4.95E-07,0.9711916455,0.01391988372,1.23E-05,3.45E-07,0.9920826163,1.33E-15,0.02300768303,0.5524833056,0.03795126938,0,0,3.56E-103,0,0.1083823038,0.003856009487
696.2,4.56E-07,0.9697805034,0.01499247899,1.24E-05,3.43E-07,0.992141118,1.07E-15,0.01766279037,0.5752639686,0.03839477882,0,0,0,0,0.1083851075,0.003856114846
696.3,4.20E-07,0.9680923312,0.01616008405,1.25E-05,3.42E-07,0.9921991243,8.95E-16,0.01347839946,0.5969705152,0.03886037744,0,0,0,0,0.1083881832,0.00385619436
696.4,3.87E-07,0.9661044217,0.01743107092,1.26E-05,3.40E-07,0.992256768,7.69E-16,0.0102368884,0.6175103238,0.03934693386,0,0,1.65E-105,0,0.1083915033,0.003856255933
696.5,3.56E-07,0.9637911859,0.01881449689,1.28E-05,3.39E-07,0.9923145446,6.77E-16,0.007751614452,0.6367929337,0.03985281427,0,0,0,1.96E-07,0.1083950399,0.00385630747
696.6,3.28E-07,0.9611135165,0.02032238548,1.29E-05,3.37E-07,0.992372418,6.07E-16,0.005860949313,0.6547758665,0.04037610097,0,0,0,3.16E-07,0.1083987654,0.003856356876
696.7,3.02E-07,0.9580156493,0.02196771474,1.30E-05,3.36E-07,0.9924302552,5.51E-16,0.004426603392,0.6715095404,0.04091486969,0,0,6.95E-107,4.36E-07,0.1084026518,0.003856412055
696.8,2.78E-07,0.9543887123,0.02376431466,1.31E-05,3.35E-07,0.9924880679,5.02E-16,0.003340533258,0.6870555159,0.04146720145,0,0,0,5.55E-07,0.1084066716,0.003856480913
696.9,2.56E-07,0.9501423751,0.02572685322,1.33E-05,3.34E-07,0.9925458923,4.57E-16,0.002519529597,0.7014755865,0.04203117789,0,0,5.44E-109,6.74E-07,0.1084107969,0.003856571355
697,2.36E-07,0.9453135815,0.02787249829,1.34E-05,3.32E-07,0.9926037178,4.14E-16,0.001899738216,0.7148316689,0.04260487829,0,0,2.47E-108,7.94E-07,0.108415,0.003856691285
697.1,2.18E-07,0.9399157772,0.030219617,1.36E-05,3.30E-07,0.9926615329,3.70E-16,0.001432326278,0.7271857765,0.0431863814,0,0,3.81E-109,4.63E-07,0.1084192593,0.003856846734
697.2,2.02E-07,0.9337411422,0.03278887341,1.37E-05,3.29E-07,0.9927193678,3.27E-16,0.001080070417,0.7386000007,0.04377376734,0,0,0,1.32E-07,0.108423578,0.003857036239
697.3,1.87E-07,0.9265873873,0.03560267076,1.38E-05,3.28E-07,0.9927772328,2.87E-16,0.0008146834987,0.7491364204,0.04436511497,0,0,0,0,0.1084279657,0.003857256459
697.4,1.73E-07,0.9184956135,0.03868807193,1.40E-05,3.27E-07,0.9928350178,2.50E-16,0.000614730229,0.7588569947,0.04495848919,0,0,3.56E-111,0,0.1084324316,0.003857504058
697.5,1.61E-07,0.9094980179,0.04207448174,1.41E-05,3.26E-07,0.9928926925,2.16E-16,0.0004640110227,0.7678236591,0.04555189949,0,0,0,0,0.1084369853,0.003857775696
